fname,lname,age,exercise,hours,grade,address,hours_normalizada,gender_male
Marcia,Pugh,17,3,10,82.4,"7379 Highland Rd. , Dublin, GA 31021",0.5,0
Kadeem,Morrison,18,4,4,78.2,"8 Bayport St. , Honolulu, HI 96815",0.2,1
Nash,Powell,18,5,9,79.3,"Encino, CA 91316, 3 Lilac Street ",0.45,1
Noelani,Wagner,14,2,7,83.2,"Riverview, FL 33569, 9998 North Smith Dr. ",0.35000000000000003,0
Noelani,Cherry,18,4,15,87.4,"97 SE. Ocean Street , Bethlehem, PA 18015",0.75,0
Neil,Whitley,16,5,16,88.7,"8041 Sunbeam Dr. , Downers Grove, IL 60515",0.8,1
Nelle,Golden,17,1,9,80.2,"8701 Rockville Ave. , Grovetown, GA 30813",0.45,0
Armando,Hoffman,17,5,18,95.1,"9 Old Tarkiln Hill Court , Council Bluffs, IA 51501",0.9,1
Illiana,Rojas,15,5,9,76.5,"133 Valley Farms Lane , Ephrata, PA 17522",0.45,0
Neil,Wooten,15,3,15,89.7,"43 Wood Court , Lincoln, NE 68506",0.75,1
Daquan,Alvarez,16,2,13,85.2,"6 Laurel St. , Ormond Beach, FL 32174",0.65,1
Nola,Velazquez,15,2,10,75.3,"Hopkinsville, KY 42240, 495 Cypress Road ",0.5,0
Quinn,Warren,14,4,12,80.7,"Reynoldsburg, OH 43068, 81 Somerset Dr. ",0.6000000000000001,0
Frances,Velasquez,15,2,15,84.2,"Roswell, GA 30075, 41 Branch St. ",0.75,0
Lareina,Poole,18,1,14,87.6,"Salt Lake City, UT 84119, 515 Wintergreen Ave. ",0.7000000000000001,0
Medge,Mccarthy,15,1,8,75.8,"8985 Bishop Lane , Painesville, OH 44077",0.4,0
Kibo,Gates,16,1,10,88.2,"9855 Fawn Lane , Roy, UT 84067",0.5,1
Libby,Guzman,19,1,19,100.0,"92 Williams Ave. , Burbank, IL 60459",0.9500000000000001,0
Shelly,Rosario,18,4,13,84.3,"54 Crescent Drive , Groton, CT 06340",0.65,0
Lane,Tate,19,4,11,84.2,"557 Rockwell Street , Irwin, PA 15642",0.55,1
Isadora,Case,18,3,11,79.1,"Milton, MA 02186, 2 Third Street ",0.55,0
Maggy,Whitfield,15,1,15,90.5,"99 Sage Street , Bozeman, MT 59715",0.75,0
Elton,Wagner,16,2,9,71.0,"Powder Springs, GA 30127, 81 East Logan Drive ",0.45,1
Lance,Benjamin,14,5,18,90.3,"24 Cardinal St. , Trenton, NJ 08610",0.9,1
Kyle,Skinner,17,5,6,82.4,"Lawndale, CA 90260, 860 Henry Ave. ",0.30000000000000004,1
Colin,Cohen,14,1,10,83.8,"9249 S. Third Ave. , New Castle, PA 16101",0.5,1
Solomon,Mcpherson,15,5,18,94.5,"Groton, CT 06340, 711 Ashley Dr. ",0.9,1
Ulla,Warren,18,1,16,83.5,"7310 Beach Street , Altamonte Springs, FL 32714",0.8,0
Tyler,Collier,16,1,9,69.7,"8339 Heritage Ave. , Meadville, PA 16335",0.45,1
Emma,Mccall,16,2,13,91.1,"Reading, MA 01867, 256 Peninsula Drive ",0.65,0
Isaiah,Newman,16,2,12,91.9,"Orlando, FL 32806, 8278 Logan Lane ",0.6000000000000001,1
Carol,Acosta,16,3,13,85.0,"Paducah, KY 42001, 18 Liberty Avenue ",0.65,0
Georgia,Munoz,14,5,20,99.0,"9088 Randall Mill Ave. , Stevens Point, WI 54481",1.0,0
Doris,Melendez,17,5,12,93.2,"7837 High Point Drive , Shelbyville, TN 37160",0.6000000000000001,0
Eric,Larsen,14,2,11,71.9,"8004 Poplar Dr. , Franklin Square, NY 11010",0.55,1
Cain,Sexton,16,3,8,85.3,"La Vergne, TN 37086, 9302 Indian Summer Ave. ",0.4,1
